,file,label,x,y,z,xyz,xcom,ycom,zcom,max,xmax,ymax,zmax,mean,median,std,variance,skew,kurtosis,entropy,hist000-100,hist100-200,hist200-300,hist300-400,hist400-500,hist500-600,hist600-700,hist700-800,hist800-900,hist900-1000,hist1000-1100,hist1100-1200,hist1200-1300,hist1300-1400,hist1400-1500,hist1500-1600,hist1600-1700,hist1700-1800,hist1800-1900,hist1900-2000,hist2000-2100,hist2100-2200,hist2200-2300,hist2300-2400,hist2400-2500,hist2500-2600,hist2600-2700
0,I004_1,0.0,89.0,140.0,50.0,623000.0,44.35140903211964,69.05832879396257,24.322208941525446,2469.0,3.0,95.0,23.0,1197.0974205457464,2078.0,1096.3174925051596,1201912.0443728005,-0.15821990823600698,-1.9497059701751374,1.5223957459317312,0.4521685393258427,0.0,0.0,5.93900481540931e-05,0.00042536115569823433,0.0005489566613162118,0.0007592295345104334,0.0009020866773675763,0.0008539325842696629,0.0008491171749598716,0.0007800963081861958,0.0008041733547351525,0.0008523274478330658,0.0008539325842696629,0.0010112359550561798,0.000942215088282504,0.0010465489566613161,0.0013001605136436598,0.0021364365971107543,0.00668378812199037,0.04643338683788122,0.20111556982343498,0.19615890850722312,0.06735794542536115,0.015956661316211877,0.0,0.0
1,I004_2,0.0,42.0,42.0,210.0,370440.0,18.905021901819815,21.217304946768756,104.31459133661869,2469.0,7.0,36.0,25.0,230.77510528020733,0.0,338.92315758706667,114868.90674878765,1.8388998618408547,6.276110567516847,1.2554388260515517,0.6313465068567109,0.0,0.0,0.011035525321239607,0.056905301803260984,0.12935698088759312,0.11777345858978512,0.03518518518518519,0.005801209372637944,0.0014901198574667962,0.000785552316164561,0.0004994061116510096,0.0004022243818162185,0.00046701220170607924,0.000353633516898823,0.0002915451895043732,0.0003968253968253968,0.00041572184429327285,0.000610085303962855,0.0010878954756505777,0.0013929381276320053,0.0014631249325126876,0.001436130007558579,0.0010393046107331821,0.0004643127092106684,0.0,0.0
2,I004_3,1.0,74.0,98.0,44.0,319088.0,37.831431542423545,45.360498762893386,22.339882345551256,1381.0,42.0,1.0,1.0,672.7936023918166,1067.0,508.9426729428251,259022.6443421874,-0.5368128418582069,-1.6772022641153432,0.9968971846549264,0.358098706312992,0.0,0.0,0.0011532868675725818,0.006292934864363436,0.005468710825853683,0.005728827157398586,0.0059043273328987615,0.008586972872687159,0.012667351953066239,0.5739764579050294,0.02175261996690568,0.0003572682144110716,1.2535726821441108e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,I005_1,0.0,56.0,52.0,221.0,643552.0,28.64590368087616,28.312371622693238,97.0402145116652,2462.0,40.0,35.0,206.0,121.8809979613147,0.0,245.69993886906863,60368.45996026407,1.666008347321089,1.4314094340703143,0.8121227324634012,0.7953203470737408,0.0,0.0,0.005938914027149321,0.030415568594301626,0.07148451096414897,0.0686269330217294,0.022722328576400976,0.0038194271791556858,0.0008670628014519417,0.00027658992591119287,0.00012586395504947541,7.458604743672617e-05,7.61399234249913e-05,3.7293023718363086e-05,3.5739147730097955e-05,3.418527174183283e-05,1.7092635870916415e-05,2.9523643777037442e-05,2.6415891800507184e-05,2.6415891800507184e-05,1.2431007906121028e-05,1.7092635870916415e-05,1.2431007906121028e-05,3.107751976530257e-06,0.0,0.0
4,I005_2,0.0,80.0,138.0,51.0,563040.0,39.86257766858401,68.86174412872268,24.68023388661252,2469.0,1.0,12.0,33.0,1332.9560937055983,2105.0,1063.808050652857,1131687.5686338313,-0.4238440245268585,-1.7803954853117805,1.6804446091028533,0.3816478402955385,0.0,0.0,0.0001562944018186985,0.0011793123046319976,0.0016251065643648763,0.0020229468599033814,0.0021028701335606705,0.001722790565501563,0.0013320545609548167,0.0011455669224211423,0.0011952969593634554,0.0012450269963057688,0.001294757033248082,0.0013249502699630576,0.0014457232168229612,0.0016890451832907076,0.002232523444160273,0.004262574595055414,0.0133756038647343,0.07085642227905654,0.22907608695652174,0.19623294970161978,0.06703076157999431,0.015803495311167946,0.0,0.0
5,I005_3,1.0,70.0,97.0,47.0,319130.0,34.26848723609485,44.71379173631022,21.524787248623205,2461.0,0.0,28.0,15.0,675.9586939491743,1049.0,506.1142419641201,256151.6259189159,-0.5460569291878312,-1.6392929810462293,1.173123372365826,0.3518158744085482,0.0,0.0,0.0013004104910224674,0.007316767461536051,0.0068248049384263465,0.00655218876319995,0.006956412747156331,0.009901920847303607,0.020295804217716918,0.5230439006047692,0.06241030301131201,0.0030363801585560745,0.00031961896405853415,7.833798138689562e-05,1.880111553285495e-05,3.133519255475825e-06,1.5667596277379124e-05,3.133519255475825e-06,1.5667596277379124e-05,9.400557766427474e-06,1.25340770219033e-05,2.50681540438066e-05,2.1934634788330774e-05,2.1934634788330774e-05,0.0,0.0
6,I006_1,2.0,273.0,183.0,215.0,10741185.0,113.44061296269015,89.14043306430105,108.21646366781661,1626.0,8.0,101.0,60.0,125.18871865627489,0.0,367.85930791481394,135320.47041956589,2.641853761835757,5.08107688460346,0.49828190297022035,0.8942253578166655,0.0,0.0,0.00017986842233887602,0.0009442161176816152,0.0010153442101593073,0.0012347799614288368,0.001591816917779556,0.002333169012543774,0.0037319904647392255,0.003966973848788565,0.023491914532707516,0.05386323762229214,0.012141025408276647,0.0012452071163470324,3.4912349056458854e-05,1.8619919496778057e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,I006_2,0.0,175.0,56.0,115.0,1127000.0,90.43479229796533,28.655770602130847,58.13467706350203,2469.0,17.0,30.0,65.0,119.86595119787046,0.0,340.9445656475305,116243.19684458326,3.4192598048595313,12.865582453080686,0.7761398382036157,0.8577666370896184,0.0,0.0,0.005831410825199645,0.028577639751552794,0.022543921916592723,0.017088731144631764,0.012479148181011535,0.009998225377107364,0.0074995563442768415,0.006374445430346052,0.005248447204968944,0.004244010647737355,0.0037950310559006213,0.0033176574977817216,0.002774622892635315,0.0024099378881987576,0.0020195208518189885,0.001699201419698314,0.0014516415261756877,0.0012999112688553683,0.0010887311446317657,0.0009707187222715173,0.0009094942324755989,0.000611357586512866,0.0,0.0
8,I006_3,1.0,153.0,66.0,101.0,1019898.0,76.71759860645102,33.17473932260554,38.98054336638277,2469.0,57.0,57.0,32.0,426.6369244767614,0.0,551.9637141536974,304663.94174234464,0.6485176866448187,-1.1569611190894258,1.1739312766227104,0.6147948128146148,0.0,0.0,0.0008392996162361335,0.0038209703323273505,0.003478779250474067,0.0037239018019449,0.00410335151162175,0.005037758677828567,0.009166602934803285,0.13950414649308068,0.19502832636204798,0.009329364308979918,0.0013118958954719002,0.00075007500750075,0.0007304652033830834,0.0007579189291478167,0.0007236017719419001,0.0008481240280890834,0.0008902851069420667,0.0010255927553539667,0.0012462030516777168,0.0011001100110011,0.0010648123635893002,0.0007236017719419001,0.0,0.0
9,I006_4,0.0,38.0,54.0,108.0,221616.0,16.96013921514897,19.31851854094458,57.33319048610116,2469.0,10.0,33.0,17.0,320.44283806223376,0.0,560.2522238408409,313882.5543186077,1.2516597435063572,-0.27534181661392676,0.984298403970263,0.7444363222871995,0.0,0.0,0.0009430727023319616,0.004715363511659808,0.004449137246408202,0.004435600317666595,0.004521334199696773,0.005225254494260342,0.006217962601978197,0.007634827810266406,0.01058136596635622,0.026288715616200997,0.15153689264313047,0.020882968738719226,0.003979857050032488,0.0009927081077178543,0.0006858710562414266,0.00047830481553678435,0.0004061078622482131,0.00039708324308714173,0.0003564724568623204,0.0003158616706374991,0.0002978124323153563,0.00022110316944624938,0.0,0.0
